"sex","age","nationality","type","uniform","food","books","help","computer","activities"
1,7,"1","2",45,1600,145,0,600,792
0,10,"1","1",40,840,0,1,1100,250
0,10,"1","2",160,1400,360,0,75,250
0,11,"1","2",93,2000,312,0,160,240
1,8,"1","1",450,405,15,1,200,180
0,7,"1","1",90,730,235,0,250,200
1,8,"1","1",65,810,139,0,70,315
0,8,"1","1",65,0,260,1,450,0
1,18,"1","1",50,860,50,0,600,45
1,8,"1","2",200,1026,230,0,150,225
1,10,"1","1",50,850,0,1,150,450
0,12,"1","1",150,850,60,0,800,240
0,12,"1","1",270,500,71,0,1200,700
0,8,"1","1",30,900,0,0,200,160
0,10,"1","3",200,1620,170,0,200,448
1,4,"3","1",50,920,280,0,300,300
0,10,"1","1",100,0,220,1,400,0
1,8,"1","2",300,900,600,0,250,500
0,10,"1","2",100,1200,276,0,200,600
1,5,"1","2",100,1200,250,0,200,700
1,8,"1","2",178,1260,287,0,80,315
1,9,"1","1",35,0,161,1,100,0
1,10,"1","2",200,1620,250,0,1200,448
0,13,"1","2",210,0,250,1,500,520
1,18,"1","3",800,3000,800,0,1000,780
0,7,"1","1",400,640,160,1,15,330
1,8,"2","2",600,1350,390,0,1000,360
0,10,"1","2",300,1088,200,0,600,1053
1,8,"1","2",35,1750,225,0,200,531
0,10,"1","3",232,1400,470,0,100,1350
1,6,"1","1",300,1350,60,0,1200,153
0,12,"1","1",200,1250,30,0,250,360
1,11,"1","2",75,400,300,1,199,300
1,9,"1","2",75,400,300,1,199,405
1,8,"1","1",80,1800,75,0,650,315
0,12,"1","2",250,1500,500,0,500,300
1,8,"1","1",50,1500,80,0,1000,1000
0,9,"1","2",90,360,420,0,120,280
0,13,"1","2",231,1350,12,0,1200,585
1,7,"1","2",113,1278,249,1,1200,765
1,7,"1","2",500,1900,300,0,600,405
1,8,"1","2",200,1370,350,0,600,1920
1,6,"1","2",240,1370,150,0,1100,2000
1,8,"1","1",50,400,340,0,300,600
1,12,"1","1",120,1000,165,0,20,0
0,6,"1","1",285,585,155,1,400,144
1,6,"1","1",30,0,180,1,60,0
0,10,"1","1",135,760,60,0,450,360
0,7,"1","1",75,760,60,0,200,360
0,8,"1","1",20,900,250,0,500,180
0,17,"1","2",200,860,205,1,593,840
1,11,"1","2",150,1100,75,0,200,200
1,12,"2","1",150,0,230,1,200,800
0,13,"1","2",450,280,34,0,750,432
1,12,"1","1",32,0,280,1,15,270
1,7,"1","1",20,738,100,0,1100,63
1,15,"1","2",150,1500,190,1,650,720
1,6,"1","1",70,1060,230,0,150,190
1,5,"1","2",236,765,24,0,600,1170
0,13,"1","2",100,1278,350,0,200,280
0,9,"1","2",100,1200,120,0,200,3250
0,9,"1","2",250,1400,100,0,200,300
0,11,"1","2",60,1200,175,0,150,360
0,15,"1","3",150,1600,425,0,450,0
1,7,"1","2",150,1088,200,0,15,488
1,5,"1","2",150,1088,50,0,1100,328
1,11,"1","1",100,410,50,0,15,336
1,7,"2","1",48,0,300,1,500,96
0,4,"2","1",70,0,30,1,150,96
0,7,"1","1",24,360,129,0,250,368
1,7,"1","1",30,1050,185,0,589,430
1,6,"1","1",100,990,300,0,350,450
1,11,"1","1",200,1200,90,0,250,350
1,9,"1","2",100,1440,150,0,200,360
1,9,"1","2",156,774,353,0,600,405
0,6,"1","1",27,1500,55,0,300,270
1,11,"1","1",122,0,100,1,200,0
1,5,"1","1",35,1000,160,0,225,350
