"NORDEN"	"IDHOGAR"	"TMUNI"	"NHOGAR"	"EHOGAR"	"SEXO"	"EDAD"	"NACIONALIDAD"	"ESTUDIANTE"	"REGLADO"	"NOREGLADO"	"NEST"	"NEST2"	"C01"	"C02"	"C03"	"C04"	"MCL"	"C08"	"C09A"	"C10"	"C11A"	"C12"	"C13A"	"C14"	"C15A"	"C16"	"C17A"	"C18"	"C19A"	"C20"	"C21A"	"C22"	"C23A"	"C24"	"C25A"	"C26"	"C27A"	"C28A"	"C29A"	"C31A"	"C33A"	"C34A"	"DLIB"	"LIB"	"D42"	"D43"	"D44"	"D45"	"D47"	"D48"	"D50"	"D51"	"D53"	"D54"	"D56"	"D57"	"GTT"	"GTS"	"GTSR"	"GTSNR"	"GTB"	"E59"	"E60R1"	"E60R2"	"E60R3"	"E60R4"	"E60R5"	"E60R6"	"E61R1"	"E61R2"	"E61R3"	"E61R4"	"E61R5"	"E61R6"	"E61R7"	"E62R1"	"E62R2"	"E62R3"	"E62R4"	"FACTOR"
0010385	0001	4		2	1	44	1	0	0	0	0	00																																																																				3071.363641
0010386	0001	4		2	2	42	1	0	0	0	0	00																																																																				3071.363641
0010387	0001	4		2	2	5	1	1	1	1	1	02	2	1	1		0	1	1850	2		2		1	360	2		1	320	1	50	1	15	1	720	2			750				1	210	2		2		2		2		2		2		4275	4065	3315	750	210	2	2	2	2	2	2	2												3071.363641
0010388	0001	4		2	1	3	1	1	1	0	1	01	2	1	1		0	1	2035	2		2		2		2		2		2		1	15	1	900	2							2		1	90	2		2		2		2		2		3040	2950	2950		90	2	2	2	2	2	2	2												3071.363641
0012050	0002	4		1	1	43	1	0	0	0	0	00																																																																				2788.987443
0012051	0002	4		1	2	43	1	0	0	0	0	00																																																																				2788.987443
0012052	0002	4		1	1	7	1	1	1	0	2	03	2	1	1		0	1	1600	2		2		2		2		1	792	1	34	1	15	1	890	2							1	145	2		1	45	1	55	2		1	600	1	200	4376	3331	3331		1045	2	2	2	2	2	2	2												2788.987443
0012053	0002	4		1	2	3	1	0	0	0	0	00																																																																				2788.987443
0012054	0003	4		3	2	49	1	1	0	1	5	11																													600	430	1	80	1	150			1	30	1	50	2		2		1340	1030		1030	310																			1340.80341
0012055	0003	4		3	1	19	1	1	1	0	4	09	1	1	1		0	2				2												2		1	450						2		2				1	30	2		2		2		480	450	450		30	2														2	2	2	2	1340.80341
0012056	0003	4		3	1	16	1	1	1	0	3	06	1	1	1		0	2		2		2				2		2		1	15	1	50	2		1	200						2		2		2		1	30	2		2		2		295	265	265		30	1							2	2	2	2	2	1	2					1340.80341
0009388	0004	4		1	1	48	1	0	0	0	0	00																																																																				1888.332773
0009389	0004	4		1	2	44	1	0	0	0	0	00																																																																				1888.332773
0009390	0004	4		1	2	10	1	1	1	1	2	03	1	1	1		0	1	850	2		2		2		2		1	240	1	65	1	30	2		2			560	350			1	0	2		2		1	115	2		2		2		2210	2095	1185	910	115	2	2	2	2	2	2	2												1888.332773
0010390	0005	4		1	1	47	1	1	0	1	5	11																												100			2		2				1	25	2		1	190	1	110	425	100		100	325																			3152.489691
0010391	0006	4		1	1	45	1	0	0	0	0	00																																																																				2810.452296
0010392	0006	4		1	2	44	1	0	0	0	0	00																																																																				2810.452296
0009391	0006	4		1	2	10	1	1	1	0	2	03	1	1	1		0	1	840	2		2		2		2		1	250	2		1	50	2		2							1	0	2		1	40	1	50	2		2		2		1230	1140	1140		90	1	2	2	2	1	2	2												2810.452296
0011150	0007	4		3	2	53	1	1	1	0	3	07	1	1	1		80																					80					1	80	2				1	10	2		2		2		170	80	80		90	2							2	2	2	2	2	2	2					2140.349809
0011151	0007	4		3	2	18	1	1	1	0	4	09	1	1	1		150	2				2												2		2							2		2				2		2		1	1500	2		1650	150	150		1500	1														1	2	2	2	2140.349809
